time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-08-20T07:24:51.000Z,62.0135,-150.0007,16.8,1.3,ml,,,,0.87,ak,ak11361486,2014-08-20T07:37:23.960Z,"18km SSW of Y, Alaska",earthquake
2014-08-20T07:09:07.000Z,63.3451,-149.0113,94.2,1.1,ml,,,,0.56,ak,ak11361480,2014-08-20T07:21:42.014Z,"6km SSW of Cantwell, Alaska",earthquake
2014-08-20T07:03:54.000Z,60.1537,-141.4335,0.1,1.2,ml,,,,0.86,ak,ak11361479,2014-08-20T07:15:07.509Z,"56km E of Cape Yakataga, Alaska",earthquake
2014-08-20T06:57:12.570Z,34.5296667,-118.8121667,10.99,1.5,ml,26,54,0.06939,0.34,ci,ci37259912,2014-08-20T07:02:07.850Z,"12km N of Piru, California",earthquake
2014-08-20T06:44:32.000Z,60.9065,-151.3322,79.3,0.9,ml,,,,0.58,ak,ak11361465,2014-08-20T06:53:44.585Z,"24km N of Nikiski, Alaska",earthquake
2014-08-20T06:35:37.830Z,33.4051667,-116.4281667,15.19,0.37,ml,18,72,0.1369,0.33,ci,ci37259904,2014-08-20T06:41:22.680Z,"17km NNW of Borrego Springs, California",earthquake
2014-08-20T06:33:55.000Z,61.4787,-147.8034,21.4,1.7,ml,,,,0.89,ak,ak11361460,2014-08-20T06:46:45.149Z,"62km ESE of Lazy Mountain, Alaska",earthquake
2014-08-20T06:31:50.800Z,19.252,-155.2277,9.8,2,Ml,,176.4,0.02694946,0.23,hv,hv60753656,2014-08-20T06:37:45.423Z,"19km S of Volcano, Hawaii",earthquake
2014-08-20T06:01:23.000Z,62.2867,-149.8008,15.8,1,ml,,,,0.59,ak,ak11361456,2014-08-20T06:08:02.430Z,"14km N of Y, Alaska",earthquake
2014-08-20T05:49:32.906Z,41.8627,-119.6334,1.0641,1.67,ml,3,222.83,0.5,0.037,nn,nn00456616,2014-08-20T06:50:50.262Z,"69km ESE of Lakeview, Oregon",earthquake
2014-08-20T05:49:26.000Z,60.1627,-141.6031,9.1,0.7,ml,,,,1.74,ak,ak11361455,2014-08-20T05:56:57.748Z,"47km ENE of Cape Yakataga, Alaska",earthquake
2014-08-20T05:44:47.610Z,39.4209,-119.9308,6.6955,0.46,ml,10,111.12,0.099,0.0809,nn,nn00456610,2014-08-20T06:19:04.373Z,"10km S of Mogul, Nevada",earthquake
2014-08-20T05:38:38.000Z,60.7581,-142.6737,0.1,0.8,ml,,,,0.75,ak,ak11361452,2014-08-20T05:50:13.589Z,"78km N of Cape Yakataga, Alaska",earthquake
2014-08-20T05:10:51.600Z,37.6403,-118.9525,9.9,0.6,Md,9,111.6,0.02694946,0.03,nc,nc72280476,2014-08-20T05:40:05.485Z,"1km ESE of Mammoth Lakes, California",earthquake
2014-08-20T05:02:36.830Z,36.1438333,-118.0593333,0,2.48,ml,27,81,0.1676,0.28,ci,ci37259896,2014-08-20T05:07:43.598Z,"51km S of Lone Pine, California",earthquake
2014-08-20T04:51:08.000Z,63.9153,-148.5279,84.6,1,ml,,,,0.8,ak,ak11361435,2014-08-20T05:03:45.342Z,"22km ENE of Healy, Alaska",earthquake
2014-08-20T04:44:52.000Z,47.378,-122.7067,14.4,0.7,Md,,316.8,0.17966306,0.13,uw,uw60848877,2014-08-20T05:31:30.964Z,"4km W of Wauna, Washington",earthquake
2014-08-20T04:44:45.000Z,60.175,-141.3326,0,0.9,ml,,,,0.52,ak,ak11361434,2014-08-20T04:50:21.716Z,"62km ENE of Cape Yakataga, Alaska",earthquake
2014-08-20T04:37:00.500Z,35.8733,-121.4822,10.1,2.8,Md,64,194.4,0.09881468,0.16,nc,nc72280446,2014-08-20T08:00:05.268Z,"36km NW of San Simeon, California",earthquake
2014-08-20T04:35:07.574Z,39.2384,-120.0923,8.3249,0.61,ml,14,82.35,0.041,0.1178,nn,nn00456606,2014-08-20T05:58:26.785Z,"3km W of Tahoe Vista, California",earthquake
2014-08-20T04:14:38.580Z,33.15,-116.4121667,9.89,1.11,ml,25,68,0.118,0.26,ci,ci37259880,2014-08-20T04:22:54.650Z,"12km SSW of Borrego Springs, California",earthquake
2014-08-20T04:14:17.000Z,62.9835,-151.2995,4.5,1.3,ml,,,,1.03,ak,ak11361432,2014-08-20T04:28:25.499Z,"95km NW of Talkeetna, Alaska",earthquake
2014-08-20T04:13:23.610Z,33.1475,-116.4153333,9.81,1.16,ml,34,69,0.1204,0.3,ci,ci37259872,2014-08-20T04:23:45.850Z,"12km SSW of Borrego Springs, California",earthquake
2014-08-20T04:12:38.580Z,34.6933333,-116.2506667,2.31,1.58,ml,14,106,0.08247,0.22,ci,ci37259864,2014-08-20T04:17:00.110Z,"62km N of Joshua Tree, California",earthquake
2014-08-20T04:09:43.000Z,61.5452,-141.2819,0,0.9,ml,,,,0.22,ak,ak11361430,2014-08-20T04:22:00.702Z,"167km E of Chitina, Alaska",earthquake
2014-08-20T04:05:15.070Z,38.9681667,-111.4183333,1.77,3.26,ml,,,,,uu,uu60081707,2014-08-20T12:07:55.931Z,"28km WSW of Ferron, Utah",earthquake
2014-08-20T03:50:37.000Z,36.0133,-120.5772,1.8,1.1,Md,12,129.6,0.03593261,0.08,nc,nc72280441,2014-08-20T07:33:07.393Z,"24km SW of Coalinga, California",earthquake
2014-08-20T03:22:42.000Z,60.6366,-146.2773,24.7,1.2,ml,,,,0.79,ak,ak11361420,2014-08-20T03:35:22.994Z,"30km WNW of Cordova, Alaska",earthquake
2014-08-20T03:13:12.703Z,36.5041,-117.5078,0,1.35,ml,18,126.11,0.312,0.1439,nn,nn00456602,2014-08-20T05:48:56.260Z,"50km ESE of Lone Pine, California",earthquake
2014-08-20T03:09:13.000Z,19.4067,-155.2857,1.6,2.1,Ml,,43.2,0.00898315,0.18,hv,hv60753471,2014-08-20T03:14:57.408Z,"5km WSW of Volcano, Hawaii",earthquake
2014-08-20T03:08:05.000Z,61.2869,-152.4847,0,2,ml,,,,0.86,ak,ak11361415,2014-08-20T03:21:48.353Z,"90km N of Redoubt Volcano, Alaska",earthquake
2014-08-20T03:01:39.400Z,34.603,-118.642,8.75,1.63,ml,38,60,0.0682,0.28,ci,ci37259848,2014-08-20T03:07:15.160Z,"12km N of Castaic, California",earthquake
2014-08-20T02:51:40.060Z,33.1495,-116.4155,9.89,1.4,ml,46,45,0.1184,0.27,ci,ci37259840,2014-08-20T03:02:53.510Z,"12km SSW of Borrego Springs, California",earthquake
2014-08-20T02:50:27.000Z,63.9548,-148.6378,15.3,0.9,ml,,,,0.52,ak,ak11361413,2014-08-20T03:03:49.149Z,"19km NE of Healy, Alaska",earthquake
2014-08-20T02:45:56.000Z,63.9584,-148.6421,12.6,0.8,ml,,,,0.41,ak,ak11361411,2014-08-20T03:03:48.415Z,"19km NE of Healy, Alaska",earthquake
2014-08-20T02:23:07.000Z,63.1625,-151.4304,0,1.6,ml,,,,0.61,ak,ak11361401,2014-08-20T02:38:22.386Z,"115km NW of Talkeetna, Alaska",earthquake
